Model,Approach,Threshold,Total_Picks,Wins,Losses,Win_Rate,Total_Profit,ROI,Picks_Per_Day,Favorite_Picks,Favorite_Wins,Favorite_Win_Rate,Favorite_Profit,Favorite_ROI,Underdog_Picks,Underdog_Wins,Underdog_Win_Rate,Underdog_Profit,Underdog_ROI,Home_Picks,Home_Wins,Home_Win_Rate,Home_Profit,Home_ROI,Away_Picks,Away_Wins,Away_Win_Rate,Away_Profit,Away_ROI
XGBoost,RAW,1%,546,291,255,53.2967032967033,85.38852595322962,15.638924167258173,11.142857142857142,159,100,62.893081761006286,23.98852595322963,15.087123241024925,387,191,49.35400516795866,61.39999999999999,15.865633074935397,281,150,53.380782918149464,24.312429887731156,8.652110280331373,265,141,53.20754716981132,61.076096065498476,23.04758342094282
XGBoost,RAW,2%,434,235,199,54.14746543778802,81.41957237557787,18.760270132621628,8.857142857142858,120,77,64.16666666666667,20.479572375577867,17.066310312981557,314,158,50.318471337579616,60.94,19.40764331210191,241,130,53.941908713692946,25.069757063445568,10.40238882300646,193,105,54.40414507772021,56.34981531213229,29.19679549851414
XGBoost,RAW,3%,318,181,137,56.91823899371069,86.52488170258951,27.209082296411797,6.489795918367347,77,56,72.72727272727273,25.88488170258951,33.61672948388248,241,125,51.867219917012456,60.64,25.16182572614108,179,101,56.424581005586596,29.946705186443833,16.730002897454654,139,80,57.55395683453237,56.578176516145675,40.70372411233502
XGBoost,RAW,4%,231,132,99,57.14285714285714,70.98721016750972,30.730394011908967,4.714285714285714,46,36,78.26086956521739,20.347210167509722,44.233065581542874,185,96,51.891891891891895,50.64,27.372972972972974,129,75,58.139534883720934,29.33063593512633,22.73692708149328,102,57,55.88235294117647,41.65657423238339,40.8397786591994
XGBoost,RAW,5%,161,91,70,56.52173913043478,52.31622728340342,32.49455110770399,3.2857142857142856,24,19,79.16666666666666,11.42622728340342,47.60928034751426,137,72,52.55474452554745,40.88999999999999,29.84671532846715,88,51,57.95454545454546,22.242831056988326,25.27594438294128,73,40,54.794520547945204,30.073396226415092,41.19643318686999
XGBoost,REGRESSED,1%,337,191,146,56.676557863501486,89.2935232834329,26.496594446122522,6.877551020408164,84,59,70.23809523809523,24.26352328343292,28.88514676599157,253,132,52.17391304347826,65.03,25.70355731225297,188,106,56.38297872340425,31.720709086127822,16.87271759900416,149,85,57.04697986577181,57.57281419730509,38.639472615641004
XGBoost,REGRESSED,2%,129,74,55,57.36434108527132,46.791346970654914,36.27236199275575,2.63265306122449,17,13,76.47058823529412,7.2613469706549205,42.71380570973483,112,61,54.46428571428571,39.529999999999994,35.29464285714285,70,40,57.14285714285714,18.497950744239827,26.425643920342612,59,34,57.6271186440678,28.293396226415094,47.95490885833067
XGBoost,REGRESSED,3%,60,36,24,60.0,31.565804151581634,52.60967358596938,1.2244897959183674,6,5,83.33333333333334,3.38580415158164,56.430069193027336,54,31,57.407407407407405,28.179999999999993,52.18518518518517,26,15,57.692307692307686,9.732407925166546,37.43233817371748,34,21,61.76470588235294,21.833396226415093,64.21587125416204
XGBoost,REGRESSED,4%,21,11,10,52.38095238095239,10.53,50.142857142857146,0.42857142857142855,0,0,0.0,0.0,0.0,21,11,52.38095238095239,10.53,50.142857142857146,7,3,42.857142857142854,2.3900000000000006,34.14285714285715,14,8,57.14285714285714,8.139999999999999,58.14285714285713
XGBoost,REGRESSED,5%,10,4,6,40.0,1.7200000000000006,17.200000000000006,0.20408163265306123,0,0,0.0,0.0,0.0,10,4,40.0,1.7200000000000006,17.200000000000006,5,3,60.0,4.390000000000001,87.80000000000001,5,1,20.0,-2.67,-53.400000000000006
