,balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
546,13973,778046,2025-05-06,120,114,WSH,CLE,Washington Nationals,Cleveland Guardians,Nationals,Guardians,0,0,regular,regular,2025,2025,37,36,28,35,1,9,4,8,0,3,0,0,1,3,1,7,7,20,3,4,7,5,1,1,0.239,0.236,0.309,0.308,0.384,0.388,0.693,0.696,0,1,1,0,5.3,4.26,9.0,9.0,8,4,9,1,3,1,4,3,5,7,0.228,0.142,1.44,1.41,0,0,2025-05-06
723,17253,777861,2025-05-19,142,114,MIN,CLE,Minnesota Twins,Cleveland Guardians,Twins,Guardians,0,0,regular,regular,2025,2025,51,51,34,34,6,5,12,8,3,3,1,0,0,1,6,5,17,14,6,2,8,8,1,0,0.245,0.233,0.313,0.306,0.388,0.38,0.701,0.686,1,0,0,1,3.24,4.19,9.0,8.2,8,12,5,6,1,0,2,6,8,8,0.235,0.352,1.14,1.42,0,0,2025-05-19
955,23516,777623,2025-06-06,113,109,CIN,AZ,Cincinnati Reds,Arizona Diamondbacks,Reds,D-backs,0,0,regular,regular,2025,2025,65,63,35,34,4,3,9,6,2,1,0,0,2,2,4,3,17,13,4,1,10,12,0,0,0.243,0.254,0.318,0.331,0.393,0.447,0.711,0.778,1,0,0,1,3.78,4.74,10.0,9.1,6,9,3,3,2,2,1,4,12,10,0.176,0.257,1.19,1.33,0,0,2025-06-06
1291,30194,777294,2025-07-01,111,113,BOS,CIN,Boston Red Sox,Cincinnati Reds,Red Sox,Reds,0,0,regular,regular,2025,2025,91,88,30,27,5,3,8,3,4,0,0,0,0,1,5,3,12,6,2,2,10,5,2,0,0.25,0.247,0.323,0.319,0.421,0.4,0.744,0.719,1,0,0,1,4.01,3.93,9.0,8.0,3,8,3,5,1,0,2,2,5,10,0.111,0.266,1.32,1.23,0,0,2025-07-01
1690,40015,776907,2025-08-02,113,144,CIN,ATL,Cincinnati Reds,Atlanta Braves,Reds,Braves,0,0,regular,regular,2025,2025,115,113,36,36,2,4,10,10,0,1,0,1,0,2,2,4,10,19,4,1,7,11,3,0,0.247,0.243,0.321,0.318,0.393,0.389,0.714,0.707,0,1,1,0,3.89,4.21,9.0,9.0,10,10,4,2,2,0,1,4,11,7,0.277,0.277,1.24,1.29,0,0,2025-08-02
2358,53237,777839,2025-09-20,142,114,MIN,CLE,Minnesota Twins,Cleveland Guardians,Twins,Guardians,0,0,regular,regular,2025,2025,50,50,28,34,0,6,3,10,2,2,0,0,0,5,0,5,5,27,2,3,10,7,0,1,0.239,0.226,0.312,0.297,0.398,0.375,0.71,0.672,0,1,1,0,4.67,3.71,9.0,9.0,10,3,5,0,5,0,3,2,7,10,0.294,0.107,1.34,1.27,1,0,2025-09-20
143,599174,778443,2025-04-06,111,138,BOS,STL,Boston Red Sox,St. Louis Cardinals,Red Sox,Cardinals,0,0,regular,regular,2025,2025,9,8,34,39,5,4,8,11,1,2,0,0,1,0,5,4,12,13,8,6,13,12,2,0,0.254,0.303,0.341,0.384,0.408,0.483,0.749,0.867,1,0,0,1,4.27,4.72,10.0,9.1,11,8,4,4,0,1,6,8,12,13,0.282,0.235,1.32,1.2,0,0,2025-04-06
1786,632431,778431,2025-08-09,144,146,ATL,MIA,Atlanta Braves,Miami Marlins,Braves,Marlins,0,0,regular,regular,2025,2025,10,10,31,31,7,1,7,5,1,1,0,0,1,0,7,1,11,6,3,1,11,7,1,0,0.241,0.252,0.317,0.315,0.388,0.397,0.705,0.712,1,0,0,1,4.23,4.45,9.0,8.0,5,7,1,7,0,1,1,3,7,11,0.161,0.225,1.28,1.3,1,1,2025-08-09
1644,740670,778372,2025-07-29,110,141,BAL,TOR,Baltimore Orioles,Toronto Blue Jays,Orioles,Blue Jays,0,0,regular,regular,2025,2025,14,15,39,36,16,4,19,11,5,1,0,0,4,2,16,4,36,18,3,3,9,3,0,0,0.245,0.264,0.309,0.335,0.413,0.415,0.722,0.75,1,0,0,1,4.88,4.28,9.0,8.0,11,19,4,16,2,4,3,3,3,9,0.305,0.487,1.41,1.26,1,0,2025-07-29
328,887714,778266,2025-04-20,115,120,COL,WSH,Colorado Rockies,Washington Nationals,Rockies,Nationals,0,0,regular,regular,2025,2025,22,23,30,33,3,1,7,8,1,0,1,0,0,0,3,1,10,8,4,2,10,8,0,2,0.218,0.229,0.289,0.305,0.35,0.368,0.639,0.673,1,0,0,1,5.05,5.12,9.0,8.0,8,7,1,3,0,0,2,4,8,10,0.242,0.233,1.56,1.47,0,0,2025-04-20
372,997869,778195,2025-04-24,118,115,KC,COL,Kansas City Royals,Colorado Rockies,Royals,Rockies,0,0,regular,regular,2025,2025,27,26,31,35,6,2,9,9,3,0,0,0,0,2,6,2,12,15,4,4,8,9,2,1,0.221,0.213,0.29,0.287,0.32,0.345,0.61,0.632,1,0,0,1,3.52,5.07,9.0,8.0,9,9,2,5,2,0,4,4,9,8,0.257,0.29,1.26,1.56,0,1,2025-04-24
408,1033000,778179,2025-04-26,114,111,CLE,BOS,Cleveland Guardians,Boston Red Sox,Guardians,Red Sox,0,0,regular,regular,2025,2025,25,29,31,34,5,4,10,7,2,1,0,0,0,2,5,4,12,14,1,5,11,10,1,1,0.238,0.242,0.309,0.324,0.386,0.398,0.695,0.722,1,0,0,1,3.95,4.11,9.0,8.0,7,10,4,5,2,0,5,1,10,11,0.205,0.322,1.37,1.33,0,0,2025-04-26
407,1033009,778180,2025-04-26,116,110,DET,BAL,Detroit Tigers,Baltimore Orioles,Tigers,Orioles,0,0,regular,regular,2025,2025,26,26,29,30,6,2,6,6,2,1,0,0,1,0,6,2,11,7,8,5,7,5,1,0,0.245,0.226,0.327,0.299,0.388,0.388,0.715,0.687,1,0,0,1,2.91,5.28,9.0,8.0,6,6,2,6,0,1,5,8,5,7,0.2,0.206,1.12,1.56,0,0,2025-04-26
412,1047221,778170,2025-04-27,147,141,NYY,TOR,New York Yankees,Toronto Blue Jays,Yankees,Blue Jays,0,0,regular,regular,2025,2025,29,30,34,29,5,1,9,3,1,0,0,0,3,1,5,1,19,6,2,4,7,12,0,1,0.262,0.239,0.348,0.311,0.468,0.343,0.816,0.654,1,0,0,1,3.66,4.06,9.0,8.0,3,9,1,5,1,3,4,2,12,7,0.103,0.264,1.2,1.23,0,2,2025-04-27
464,1119446,778134,2025-04-30,113,138,CIN,STL,Cincinnati Reds,St. Louis Cardinals,Reds,Cardinals,0,0,regular,regular,2025,2025,30,31,30,31,0,6,3,7,0,0,0,0,0,4,0,6,3,19,2,7,6,5,2,2,0.25,0.262,0.329,0.336,0.398,0.403,0.727,0.739,0,1,1,0,3.46,4.19,9.0,9.0,7,3,6,0,4,0,7,2,5,6,0.225,0.1,1.1,1.23,0,0,2025-04-30
507,1206080,778068,2025-05-04,138,121,STL,NYM,St. Louis Cardinals,New York Mets,Cardinals,Mets,0,0,regular,regular,2025,2025,38,36,34,35,5,4,9,10,2,0,0,0,1,0,5,4,14,10,3,5,9,6,0,2,0.259,0.252,0.333,0.333,0.396,0.418,0.729,0.751,1,0,0,1,4.32,2.87,9.0,8.0,10,9,4,5,0,1,5,3,6,9,0.285,0.264,1.3,1.25,0,0,2025-05-04
567,1282811,778029,2025-05-08,115,116,COL,DET,Colorado Rockies,Detroit Tigers,Rockies,Tigers,0,0,regular,regular,2025,2025,40,40,28,39,1,11,5,14,0,3,0,0,0,1,1,11,5,20,4,2,4,5,0,1,0.211,0.262,0.28,0.335,0.343,0.424,0.623,0.759,0,1,1,0,5.47,2.95,9.0,9.0,14,5,8,1,1,0,2,4,5,4,0.358,0.178,1.57,1.14,2,0,2025-05-08
658,1430758,777938,2025-05-14,110,142,BAL,MIN,Baltimore Orioles,Minnesota Twins,Orioles,Twins,0,0,regular,regular,2025,2025,42,42,37,34,6,8,11,10,0,0,0,0,2,3,6,8,17,19,2,6,7,11,0,1,0.227,0.239,0.296,0.309,0.384,0.379,0.68,0.688,0,1,1,0,5.37,3.38,9.0,9.0,10,11,8,6,3,2,6,2,11,7,0.294,0.297,1.49,1.17,0,0,2025-05-14
659,1430761,777933,2025-05-14,143,138,PHI,STL,Philadelphia Phillies,St. Louis Cardinals,Phillies,Cardinals,0,0,regular,regular,2025,2025,42,46,37,44,7,14,10,19,2,1,0,0,3,3,7,13,21,29,3,3,11,6,0,2,0.257,0.262,0.335,0.338,0.402,0.406,0.737,0.744,0,1,1,0,3.9,3.85,9.0,9.0,19,10,13,7,3,3,3,3,6,11,0.431,0.27,1.26,1.24,1,0,2025-05-14
2301,1622503,777825,2025-09-16,120,144,WSH,ATL,Washington Nationals,Atlanta Braves,Nationals,Braves,0,0,regular,regular,2025,2025,52,50,34,38,3,6,8,13,0,2,1,0,0,2,3,6,10,21,3,3,12,5,0,0,0.244,0.244,0.307,0.318,0.388,0.395,0.695,0.713,0,1,1,0,5.32,4.44,9.0,9.0,13,8,6,3,2,0,3,3,5,12,0.342,0.235,1.44,1.32,0,0,2025-09-16
